Id buku;jenis;judul Buku;pengarang;penerbit;Tahun Terbit;kelas;edisi;isbn;jumlah;tanggal input;tanggal masuk
98977;Buku;Ensiklopedia IPTEK Cahaya dan Alat Optik;Andarini Saptika;Multazam Mulia Utama;2010;Umum;No Revisi;9786022230083;2;07/01/2020;12/12/2015
98976;Buku;Ensiklopedia IPTEK Alam Semesta;Morena Cindo;Multazam Mulia Utama;2010;Umum;No Revisi;9786022230151;2;07/01/2020;12/12/2015
98975;Buku;Ensiklopedia IPTEK Bahan dan Teknologi;Fachri Aljupri;Multazam Mulia Utama;2013;Umum;No Revisi;9786022230120;2;07/01/2020;12/12/2015
98974;Buku;Ensiklopedia Geografi Eropa;Morena Cindo;CV. Ghina Walafafa;2012;Umum;No Revisi;9786022240396;2;07/01/2020;12/12/2015
98973;Buku;Ensiklopedia Bahasa & Sastra;Octaria Sulistyani;Multazam Mulia Utama;2010;Umum;Jilid 5;9786022230472;2;07/01/2020;11/12/2019
98972;Buku;English Encyclopedia;Umi Habibah;CV. Sahala Adidayatama;2015;Umum;No Revisi;9786022220206;2;07/01/2020;12/12/2015
98971;Buku;Ensiklopedia Sejarah;Yuyus Kardiman;Multazam Mulia Utama;2011;Umum;Jilid 4;9786028505949;2;07/01/2020;12/12/2015
98970;Buku;Ensiklopedia Ekonomi;Oki Prama Bakti;CV. Citraunggul Laksana;2011;Umum;Jilid 2;9786029235166;2;07/01/2020;12/12/2015
98969;Buku;Ensiklopedia Sejarah;Yuyus Kardiman;Multazam Mulia Utama;2010;Umum;Jilid 3;9786028505932;2;07/01/2020;12/12/2015
98968;Buku;Ensiklopedia Kewarganegaraan;Andarini Saptika;Multazam Mulia Utama;2010;Umum;Jilid 3;9786022230380;2;07/01/2020;12/12/2015
98967;Buku;Ensiklopedia Alat Musik Dunia;Sarkonah;PT. Wadah Ilmu;2012;Umum;No Revisi;9786029227864;2;07/01/2020;12/12/2015
98966;Buku;Ensiklopedia Sosiologi;Oki Prama Bakti;CV. Ghina Walafafa;2015;Umum;No Revisi;9786022240228;2;07/01/2020;12/12/2015
98965;Buku;Ensiklopedia IPTEK Kimia dan Unsur;Andarini Saptika;Multazam Mulia Utama;2015;Umum;No Revisi;9786022230144;2;07/01/2020;12/12/2015
98964;Buku;Ensiklopedia IPTEK Makhluk Hidup;Morena Cindo;Multazam Mulia Utama;20132;Umum;No Revisi;9786022230137;2;07/01/2020;12/12/2015
98963;Buku;Kamus Bahasa Arab - Indonesia;Ust. Mifta Al-Mansyur;Bintang Indonesia;2017;Umum;No Revisi;9786028641869;6;07/01/2020;11/12/2018
98962;Buku;Kamus Bahasa Indonesia;Muhammad Ali;Pustaka Amani;2006;Umum;No Revisi;9799791247039;14;07/01/2020;11/12/2018
98961;Buku;Erlangga X-Press UN 2019 Matematika;Kasmina;Penerbit Erlangga;2018;XII;No Revisi;9786024860257;18;07/01/2020;11/12/2018
98960;Buku;Pedoman Hidup Islami Warga Muhammadiyah;Prof. Drs. H. Asymuni Abdurrahman, dkk;Suara Muhammadiyah;2003;Umum;Keenam;9790611134776;7;07/01/2020;11/12/2018
98959;Buku;Seni Budaya Semester 2;Zackaria;kemendikbud;2016;X;No Revisi;9790609243970;135;14/01/2020;14/01/2017
98958;Buku;Matematika;To'ali;CV. Elok Jaya;2008;XI;No Revisi;9790607353164;74;20/01/2020;08/01/2014
98957;Buku;IPA;Suparwoto;PT. MACANAN JAYA CEMERLANG;2008;X;No Revisi;9790605462358;37;20/01/2020;01/08/2010
98956;Buku;Agama Islam da Budi Pekerti;Mustahdi dan Mustakim;kemendikbud;2017;XI;revisi 2017;9790603571552;23;30/09/2019;30/11/2018
98955;Buku;Al-islam dan Kemuhammadiyahan;Husni Tohyar;Majelis Dikdasmen PP Muhammadiyah;2013;XII;No Revisi;9790601680746;15;30/09/2019;01/12/2018
98954;Buku;Matematika;Abdur Rahman;kemendikbud;2018;XII;revisi 2018;9790599789940;40;30/09/2019;02/12/2018
98953;Buku;Akuntansi Keuangan;Ika Widiyanti;Bumi Aksara;2019;XII;No Revisi;9790597899134;25;03/10/2019;03/12/2018
98952;Buku;Akuntansi Keuangan;Ika Widiyanti;Bumi Aksara;2019;XI;No Revisi;9790596008328;25;03/10/2019;04/12/2018
98951;Buku;Praktikum Akuntansi Perusahaan Jasa, Dagang, dan Manufaktur;Sri Tarmiyati;Bumi Aksara;2019;XII;No Revisi;9790594117522;25;03/10/2019;05/12/2018
98950;Buku;Penjaskes;Syarifudin;kemendikbud;2017;X;No Revisi;9790592226716;140;05/10/2019;06/12/2018
98949;Buku;Perundang-undangan kesehatan;Sion Pinem,S.Si.,Apt;APMFI;2016;X;No Revisi;9790590335910;10;05/10/2019;07/12/2018
98948;Buku;Matematika Penjualan dan Akuntansi;To'ali;PT. Indahjaya Adipratama;2008;XII;No Revisi;9790588445104;9;25/10/2019;08/12/2018
98947;Buku;Kembara Rindu;Habiburrahman El Shirazy;Republika Penerbit;2019;Umum;No Revisi;9790586554298;4;14/11/2019;09/12/2018
98946;Buku;Memoar of Jeddah;Jihan Davincka;PT. Elex Media Komputindo;2013;Umum;No Revisi;9790584663492;1;11/12/2019;10/12/2018
98945;Buku;HALIMUN;Rina TH;PT.Gramedia Widiasarana;2014;Umum;No Revisi;9790582772686;6;12/12/2019;11/12/2018
98944;Novel;Menggapai Matahari;Adnan Katino;PT.Gramedia  ;2010;Umum;No Revisi;9790580881880;2;12/12/2019;11/12/2018
98943;Novel;Aku,Cinta,dan Petang;adenita dkk;PT.Gramedia  ;2014;Umum;No Revisi;9790578991074;3;12/12/2019;11/12/2018
98942;Novel;#followers;Ardini dkk;mediakita;2013;Umum;cetakan pertama;9790577100268;6;12/12/2019;11/12/2018
98941;Buku;Kuntilanak Cemen;Eni Martini;PT. Elex Media Komputindo;2012;Umum;No Revisi;9790575209462;1;12/12/2019;11/12/2018
98940;Novel;Bila Musim telah Berganti;Purwati Sugito;PT. Elex Media Komputindo;2014;Umum;No Revisi;9790573318656;1;12/12/2019;11/12/2018
98939;Novel;HAnya Sebutir Debu;Sandi Firly;PT. Elex Media Komputindo;2014;Umum;No Revisi;9790571427850;4;12/12/2019;11/12/2018
98938;Buku;Sang Waktu;Happy S Tjandra;Gradien Mediatama;2017;Umum;sembilan;9790569537044;5;12/12/2019;12/12/2018
